rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
-35.0,-176.0,-42.0,58.0,-17.0,-11.0,-1.0,1.0,8.6,-4.7,6.3,-8.5,46.2,8.3,3,1
-176.0,-35.0,58.0,-42.0,-11.0,-17.0,1.0,-1.0,-4.7,8.6,-8.5,6.3,8.3,46.2,3,0
-99.0,31.0,103.0,-136.0,-5.0,-13.0,2.0,1.0,-4.6,-21.2,-8.0,-22.2,33.3,85.7,3,1
31.0,-99.0,-136.0,103.0,-13.0,-5.0,1.0,2.0,-21.2,-4.6,-22.2,-8.0,85.7,33.3,3,0
-166.0,-68.0,18.0,104.0,-11.0,-2.0,1.0,1.0,6.1,-3.9,1.3,-4.8,46.2,33.3,3,1
-68.0,-166.0,104.0,18.0,-2.0,-11.0,1.0,1.0,-3.9,6.1,-4.8,1.3,33.3,46.2,3,0
-95.0,232.0,148.0,-172.0,-11.0,-5.0,0.0,-2.0,-7.2,-26.9,-10.0,-25.4,61.5,25.0,3,1
232.0,-95.0,-172.0,148.0,-5.0,-11.0,-2.0,0.0,-26.9,-7.2,-25.4,-10.0,25.0,61.5,3,0
-137.0,3.5,46.5,-28.0,-11.5,3.5,1.0,0.0,16.8,-16.9,12.8,-16.5,41.7,33.3,3,1
3.5,-137.0,-28.0,46.5,3.5,-11.5,0.0,1.0,-16.9,16.8,-16.5,12.8,33.3,41.7,3,0
0.5,41.0,223.5,41.0,16.0,-0.5,0.5,4.5,5.3,-2.0,-9.3,-11.5,84.6,41.7,4,1
41.0,0.5,41.0,223.5,-0.5,16.0,4.5,0.5,-2.0,5.3,-11.5,-9.3,41.7,84.6,4,0
-78.0,62.0,-54.5,34.0,-14.0,-2.5,2.5,-0.5,10.0,-2.8,3.9,1.6,85.7,41.7,4,1
62.0,-78.0,34.0,-54.5,-2.5,-14.0,-0.5,2.5,-2.8,10.0,1.6,3.9,41.7,85.7,4,0
-27.80000000000001,44.30000000000001,100.5,-69.0,-2.0,3.0,-1.3,0.8,15.3,-6.4,11.3,-9.3,25.0,41.7,4,1
44.30000000000001,-27.80000000000001,-69.0,100.5,3.0,-2.0,0.8,-1.3,-6.4,15.3,-9.3,11.3,41.7,25.0,4,0
-85.5,133.5,-181.5,-77.5,-35.0,0.5,0.0,3.0,-10.3,-4.6,-7.5,-7.5,33.3,71.4,4,1
133.5,-85.5,-77.5,-181.5,0.5,-35.0,3.0,0.0,-4.6,-10.3,-7.5,-7.5,71.4,33.3,4,0
-18.69999999999999,-27.700000000000003,96.0,-46.69999999999999,-14.700000000000003,-9.3,2.3,-0.7,24.8,-7.7,15.2,-7.7,69.2,41.7,4,1
-27.700000000000003,-18.69999999999999,-46.69999999999999,96.0,-9.3,-14.700000000000003,-0.7,2.3,-7.7,24.8,-7.7,15.2,41.7,69.2,4,0
-51.0,-27.0,-90.5,-84.5,-26.0,-15.0,2.5,-2.0,-3.3,-16.4,-4.1,-16.7,45.5,41.7,4,1
-27.0,-51.0,-84.5,-90.5,-15.0,-26.0,-2.0,2.5,-16.4,-3.3,-16.7,-4.1,41.7,45.5,4,0
-129.3,25.69999999999999,-67.19999999999999,16.80000000000001,-16.2,13.5,-0.19999999999999996,-0.30000000000000004,-18.8,-19.8,-16.5,-18.6,85.7,41.7,4,1
25.69999999999999,-129.3,16.80000000000001,-67.19999999999999,13.5,-16.2,-0.30000000000000004,-0.19999999999999996,-19.8,-18.8,-18.6,-16.5,41.7,85.7,4,0
138.0,5.5,207.5,137.5,23.0,12.0,-1.0,0.5,18.3,-2.6,-9.2,-7.9,61.5,33.3,4,1
5.5,138.0,137.5,207.5,12.0,23.0,0.5,-1.0,-2.6,18.3,-7.9,-9.2,33.3,61.5,4,0
-24.0,49.5,-176.5,101.0,-25.0,11.5,-1.0,1.0,3.0,0.9,-5.4,-4.3,53.9,61.5,4,1
49.5,-24.0,101.0,-176.5,11.5,-25.0,1.0,-1.0,0.9,3.0,-4.3,-5.4,61.5,53.9,4,0
