f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
144.0,102.7,164.3,207.7,18.0,27.7,2.3,2.0,60.0,-3.1,-5.1,120.7,160.7,249.7,130.3,24.3,20.3,2.0,1.7,36.4,-5.4,-5.0,1
210.7,138.7,173.7,168.0,28.7,21.3,1.0,1.3,60.0,3.9,-7.4,126.3,261.3,182.0,267.7,21.0,52.7,0.7,1.7,40.0,-18.2,0.2,1
199.0,139.3,347.3,204.7,54.7,12.3,1.0,2.0,88.9,36.1,7.4,151.5,321.0,194.0,231.0,19.0,43.0,0.5,1.0,40.0,-17.6,-15.4,1
146.0,125.0,293.0,356.0,30.7,35.7,1.3,1.3,20.0,-10.3,-11.0,199.3,286.3,304.0,167.3,38.3,32.0,1.0,1.7,40.0,-3.9,-10.5,1
-12.0,140.3,237.7,233.0,6.7,22.7,1.3,1.0,70.0,-7.2,0.0,49.7,203.3,146.0,227.7,6.7,32.7,2.7,2.0,30.0,-13.3,3.8,1
260.3,81.3,275.7,265.0,38.7,19.0,2.0,1.3,77.8,15.0,9.5,78.0,193.0,310.0,190.3,31.0,32.0,3.0,3.0,33.3,7.7,6.3,0
128.3,98.3,427.0,321.0,39.3,30.0,1.7,1.3,70.0,13.4,2.7,179.3,301.3,321.3,274.3,33.3,44.7,1.7,1.0,81.8,5.3,3.7,1
137.7,150.0,184.0,113.0,29.0,10.0,1.0,2.0,55.6,9.9,-3.5,123.0,140.7,150.0,173.0,20.3,20.0,2.3,0.7,33.3,7.9,3.7,1
361.0,169.3,182.7,246.0,43.7,29.3,2.3,1.7,40.0,-7.1,-7.1,101.7,142.3,242.0,212.0,32.0,21.3,2.0,2.3,50.0,-9.8,-4.3,0
95.7,252.0,405.0,281.7,23.0,40.0,2.3,0.3,66.7,-16.0,-7.2,290.0,344.3,154.0,214.7,28.7,44.3,1.7,1.0,70.0,-25.2,-10.7,0
161.7,81.0,202.0,227.3,20.7,19.7,1.7,2.0,90.0,7.5,0.8,140.3,114.0,274.0,200.3,28.3,21.3,3.0,2.0,80.0,1.1,-4.0,1
80.0,337.0,205.0,155.0,14.0,31.0,0.0,1.0,33.3,-4.9,-5.7,117.5,150.5,342.0,252.5,28.0,24.0,1.5,0.5,22.2,-9.0,-6.3,1
142.7,117.7,360.3,273.0,36.3,28.3,2.7,2.3,90.0,9.5,3.1,195.0,180.7,226.7,216.0,20.3,19.3,1.7,2.3,80.0,-7.7,-1.5,1
179.0,161.0,291.0,172.3,30.7,22.7,2.7,1.7,66.7,11.0,6.9,67.3,167.0,405.7,278.0,32.0,18.0,1.0,2.0,44.4,5.8,2.8,1
159.0,150.0,186.7,217.3,25.7,23.7,2.0,1.0,50.0,14.9,8.7,140.7,169.3,232.0,270.3,18.0,33.7,2.7,0.7,72.7,-31.5,-20.7,1
99.7,111.0,249.0,197.7,18.7,20.0,1.7,2.0,33.3,8.3,6.3,183.0,158.3,248.7,257.3,24.0,39.3,2.3,2.3,66.7,0.9,-2.0,0
148.3,144.7,217.7,171.7,21.3,16.0,1.3,1.3,66.7,16.6,8.0,155.0,172.3,175.0,200.3,23.3,21.7,0.7,1.3,88.9,3.0,1.7,1
