f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
139.8,139.8,237.6,336.0,29.2,35.6,1.8,1.4,20.0,-10.3,-11.0,215.8,274.6,319.4,172.4,38.2,28.6,1.2,1.8,40.0,-3.9,-10.5,0
13.2,135.2,203.2,243.6,7.8,25.2,1.8,1.6,70.0,-7.2,0.0,84.7,269.7,194.2,185.3,12.2,36.3,2.5,1.7,30.0,-13.3,3.8,0
201.1,138.8,266.8,224.6,31.4,22.5,1.6,1.5,77.8,15.0,9.5,87.2,160.3,316.0,195.8,27.5,25.8,2.3,2.1,33.3,7.7,6.3,1
147.7,106.7,364.0,263.2,39.8,24.4,1.2,1.4,70.0,13.4,2.7,130.1,236.3,385.1,256.6,34.4,33.9,1.7,1.2,81.8,5.3,3.7,1
159.2,135.2,205.2,131.0,26.8,11.2,1.6,1.8,55.6,9.9,-3.5,148.8,184.7,192.7,180.0,27.3,26.8,1.8,1.7,33.3,7.9,3.7,1
311.7,221.9,186.6,218.9,35.7,33.0,2.1,1.4,40.0,-7.1,-7.1,91.4,153.4,168.0,215.3,21.4,25.6,1.9,2.3,50.0,-9.8,-4.3,1
119.9,172.9,321.0,257.0,23.3,35.6,1.8,0.5,66.7,-16.0,-7.2,211.2,346.0,171.7,285.9,20.2,49.3,2.0,0.9,70.0,-25.2,-10.7,1
161.4,65.4,186.2,249.4,21.0,17.2,1.0,2.0,90.0,7.5,0.8,156.2,111.3,202.3,197.3,25.3,21.2,2.3,2.3,80.0,1.1,-4.0,1
80.0,337.0,205.0,155.0,14.0,31.0,0.0,1.0,33.3,-4.9,-5.7,117.5,150.5,342.0,252.5,28.0,24.0,1.5,0.5,22.2,-9.0,-6.3,1
115.2,99.0,352.0,233.6,29.2,23.8,2.4,1.6,90.0,9.5,3.1,158.2,157.5,214.2,219.8,18.5,23.8,1.3,1.5,80.0,-7.7,-1.5,0
137.6,156.5,229.7,210.3,26.0,20.3,1.9,1.9,66.7,11.0,6.9,82.4,192.1,416.9,241.6,36.2,27.7,1.5,2.0,44.4,5.8,2.8,0
138.3,130.9,172.5,216.3,18.9,17.9,1.1,1.0,50.0,14.9,8.7,115.3,207.7,163.9,260.6,13.9,38.7,1.7,0.7,72.7,-31.5,-20.7,0
124.1,109.5,238.5,210.6,22.0,22.7,1.8,1.8,33.3,8.3,6.3,172.2,168.7,289.1,261.6,31.3,31.3,1.4,2.2,66.7,0.9,-2.0,0
148.3,144.7,217.7,171.7,21.3,16.0,1.3,1.3,66.7,16.6,8.0,155.0,172.3,175.0,200.3,23.3,21.7,0.7,1.3,88.9,3.0,1.7,0
